"Date Of","1 yr","2 yr","3 yr","4 yr","5 yr","6 yr","7 yr","8 yr","9 yr","10 yr","11 yr","12 yr","13 yr","14 yr","15 yr","16 yr","17 yr","18 yr","19 yr","20 yr","21 yr","22 yr","23 yr","24 yr","25 yr","26 yr","27 yr","28 yr","29 yr","30 yr"
"4/10/2025","3.063","3.122","3.183","3.244","3.304","3.363","3.417","3.467","3.511","3.548","3.576","3.598","3.616","3.630","3.643","3.657","3.671","3.686","3.702","3.719","3.736","3.754","3.772","3.791","3.810","3.830","3.850","3.871","3.892","3.913"
"4/9/2025","3.019","3.052","3.093","3.141","3.194","3.249","3.304","3.357","3.406","3.449","3.485","3.515","3.539","3.561","3.581","3.602","3.622","3.644","3.665","3.687","3.708","3.731","3.753","3.775","3.798","3.821","3.844","3.867","3.891","3.914"
"4/8/2025","2.776","2.813","2.855","2.903","2.954","3.008","3.062","3.117","3.170","3.220","3.266","3.309","3.348","3.385","3.420","3.453","3.486","3.517","3.546","3.575","3.603","3.629","3.655","3.680","3.703","3.726","3.748","3.770","3.791","3.811"
"4/7/2025","2.579","2.614","2.658","2.709","2.766","2.827","2.890","2.953","3.015","3.074","3.129","3.180","3.227","3.272","3.313","3.352","3.389","3.424","3.457","3.488","3.517","3.545","3.571","3.595","3.618","3.639","3.659","3.678","3.696","3.713"
"4/4/2025","2.554","2.590","2.636","2.688","2.746","2.808","2.872","2.936","2.999","3.059","3.114","3.164","3.211","3.254","3.295","3.333","3.368","3.402","3.433","3.463","3.490","3.516","3.539","3.562","3.582","3.601","3.619","3.636","3.651","3.666"
"4/3/2025","2.627","2.664","2.711","2.764","2.822","2.884","2.947","3.011","3.072","3.130","3.184","3.232","3.277","3.319","3.359","3.396","3.432","3.466","3.499","3.530","3.559","3.587","3.614","3.640","3.664","3.688","3.710","3.731","3.752","3.771"
"4/2/2025","2.675","2.714","2.761","2.814","2.872","2.933","2.996","3.059","3.120","3.177","3.230","3.278","3.323","3.364","3.403","3.440","3.475","3.509","3.541","3.572","3.601","3.629","3.655","3.680","3.705","3.728","3.750","3.771","3.791","3.811"
"4/1/2025","2.696","2.745","2.798","2.854","2.913","2.972","3.030","3.088","3.143","3.194","3.241","3.283","3.322","3.359","3.393","3.426","3.457","3.487","3.516","3.544","3.570","3.596","3.620","3.644","3.666","3.688","3.709","3.729","3.749","3.767"
"3/31/2025","2.721","2.779","2.838","2.897","2.956","3.013","3.070","3.124","3.176","3.225","3.270","3.313","3.353","3.391","3.427","3.461","3.494","3.525","3.555","3.584","3.612","3.638","3.663","3.687","3.710","3.732","3.754","3.774","3.794","3.813"
"3/28/2025","2.727","2.794","2.857","2.918","2.976","3.032","3.085","3.136","3.186","3.233","3.279","3.323","3.365","3.406","3.444","3.481","3.517","3.550","3.582","3.612","3.641","3.669","3.695","3.720","3.743","3.766","3.788","3.808","3.828","3.847"
"3/27/2025","2.698","2.770","2.837","2.898","2.956","3.010","3.061","3.110","3.158","3.205","3.252","3.299","3.345","3.390","3.434","3.475","3.514","3.551","3.586","3.619","3.651","3.681","3.709","3.736","3.761","3.785","3.808","3.830","3.850","3.870"
"3/26/2025","2.669","2.726","2.781","2.833","2.884","2.933","2.982","3.030","3.079","3.128","3.178","3.229","3.280","3.329","3.377","3.422","3.465","3.506","3.544","3.581","3.615","3.647","3.678","3.706","3.734","3.759","3.783","3.806","3.828","3.848"
"3/25/2025","2.654","2.699","2.745","2.794","2.843","2.894","2.946","2.999","3.052","3.105","3.159","3.212","3.264","3.315","3.363","3.409","3.453","3.494","3.533","3.570","3.604","3.637","3.668","3.697","3.724","3.750","3.774","3.797","3.819","3.839"
"3/24/2025","2.650","2.689","2.733","2.782","2.835","2.891","2.949","3.008","3.067","3.124","3.180","3.234","3.286","3.335","3.382","3.427","3.469","3.509","3.547","3.583","3.616","3.648","3.678","3.707","3.734","3.759","3.783","3.805","3.827","3.847"
"3/21/2025","2.664","2.695","2.734","2.779","2.830","2.885","2.943","3.003","3.062","3.120","3.177","3.230","3.281","3.330","3.376","3.420","3.462","3.501","3.539","3.574","3.607","3.639","3.669","3.697","3.723","3.748","3.772","3.794","3.816","3.836"
"3/20/2025","2.674","2.705","2.744","2.789","2.839","2.892","2.948","3.004","3.060","3.114","3.164","3.212","3.257","3.300","3.341","3.379","3.416","3.451","3.484","3.516","3.546","3.574","3.601","3.627","3.652","3.675","3.697","3.718","3.739","3.758"
"3/19/2025","2.677","2.709","2.748","2.793","2.843","2.896","2.951","3.007","3.063","3.118","3.170","3.220","3.268","3.313","3.356","3.397","3.436","3.472","3.507","3.541","3.572","3.602","3.630","3.657","3.682","3.706","3.729","3.751","3.771","3.791"
"3/18/2025","2.670","2.702","2.740","2.783","2.831","2.882","2.935","2.990","3.045","3.100","3.154","3.206","3.256","3.305","3.351","3.395","3.437","3.476","3.513","3.549","3.582","3.614","3.643","3.671","3.698","3.723","3.747","3.769","3.791","3.811"
"3/17/2025","2.668","2.701","2.739","2.781","2.826","2.875","2.926","2.980","3.034","3.089","3.143","3.198","3.251","3.302","3.352","3.398","3.443","3.484","3.524","3.561","3.596","3.630","3.661","3.690","3.718","3.744","3.768","3.792","3.814","3.834"
"3/14/2025","2.673","2.706","2.743","2.783","2.827","2.874","2.924","2.976","3.030","3.086","3.143","3.201","3.258","3.315","3.369","3.420","3.468","3.514","3.557","3.597","3.635","3.670","3.704","3.735","3.764","3.792","3.818","3.842","3.865","3.886"
"3/13/2025","2.667","2.702","2.740","2.779","2.821","2.865","2.912","2.962","3.015","3.071","3.131","3.192","3.255","3.317","3.376","3.433","3.486","3.536","3.582","3.626","3.667","3.706","3.742","3.775","3.807","3.836","3.863","3.889","3.913","3.935"
"3/12/2025","2.626","2.662","2.697","2.734","2.772","2.812","2.854","2.899","2.947","2.999","3.054","3.112","3.172","3.230","3.287","3.341","3.392","3.440","3.485","3.528","3.567","3.605","3.640","3.672","3.703","3.731","3.758","3.783","3.807","3.829"
"3/11/2025","2.597","2.630","2.664","2.698","2.734","2.771","2.810","2.852","2.898","2.947","3.001","3.058","3.115","3.173","3.229","3.283","3.333","3.380","3.425","3.467","3.506","3.543","3.578","3.610","3.640","3.669","3.696","3.721","3.744","3.766"
"3/10/2025","2.592","2.628","2.662","2.696","2.730","2.766","2.803","2.844","2.888","2.937","2.990","3.047","3.105","3.164","3.221","3.276","3.327","3.375","3.420","3.463","3.503","3.540","3.575","3.608","3.639","3.668","3.695","3.720","3.744","3.766"
"3/7/2025","2.589","2.625","2.659","2.692","2.724","2.758","2.794","2.832","2.875","2.923","2.977","3.035","3.096","3.157","3.216","3.272","3.326","3.376","3.422","3.466","3.508","3.546","3.583","3.616","3.648","3.678","3.705","3.731","3.755","3.778"
"3/6/2025","2.571","2.602","2.632","2.661","2.691","2.722","2.757","2.795","2.838","2.887","2.942","3.002","3.065","3.128","3.190","3.249","3.304","3.356","3.405","3.450","3.493","3.533","3.570","3.605","3.638","3.668","3.697","3.723","3.748","3.771"
